Id,avg_Cyan,avg_Red,avg_Yellow,avg_TopGreen,centroid_X,centroid_Y,Area,Eccentricity,Perimeter,min_Feret_Diameter (pixels),min_Feret_Diameter (microns),counter_Cyan,counter_Red,counter_Yellow,counter_Green,marking_Cyan,marking_Red,marking_Yellow,marking_Green
1,9.934121622,21.02111486,28.30743243,2.966386555,13.45692568,21.86233108,1184,0.817452061,166.9116882,29,11.328125,0,0,1,0,0,0,0,0
25,12.52485089,52.26322068,10.38906561,3.176587302,636.3882704,61.03280318,5030,0.878177021,408.4751801,64.78229979,25.30558585,0,1,0,0,0,0,0,0
30,6.897663249,34.63009144,9.799020966,2.339796861,829.4915489,54.5238755,10827,0.559801138,561.7300141,114.6166827,44.77214169,0,1,0,0,0,0,0,0
41,9.658426966,28.82533197,6.306843718,2.530612245,583.9838611,26.48947906,4895,0.791565801,384.1909089,68,26.5625,0,1,0,0,0,0,0,0
42,21.80463221,49.15419258,8.219815569,2.749464668,226.1213811,19.04975338,4663,0.948900842,402.8355698,44,17.1875,1,1,0,0,0,0,0,0
43,6.138941262,9.989992748,6.998404641,2.308695652,351.8101523,32.7933285,6895,0.75481321,431.5046174,81,31.640625,0,0,0,0,0,0,0,0
47,9.056626628,14.00706571,10.69869789,2.975782038,955.7608761,43.21550419,9907,0.69117569,528.6761902,113.938627,44.50727616,0,0,0,0,0,0,0,0
87,10.72809668,38.11581067,7.702416918,3.018456376,89.70694864,33.21265525,5958,0.865614843,438.4335495,80.92260079,31.61039094,0,1,0,0,0,0,0,0
89,10.77661893,51.04965753,6.404732254,2.531881804,151.8493151,71.79374222,6424,0.894041278,500.3574311,68.4962242,26.75633758,0,1,0,0,0,0,0,0
93,7.757863936,24.85881492,4.962692026,2.445255474,129.3796635,40.75274323,1367,0.953938451,236.6934342,23.78594524,9.291384859,0,0,0,0,0,0,0,0
123,7.63174237,11.77377573,82.60228886,4.571808511,983.7222321,146.3726047,11272,0.906973978,720.139177,91,35.546875,0,0,1,0,0,0,0,0
127,9.48301107,11.04221402,6.389254613,2.602420307,292.3331661,155.6803247,33875,0.719201911,1056.330086,173.7925293,67.88770674,0,0,0,0,0,0,0,0
164,9.642140895,16.84805518,56.33097017,3.820561941,724.0834132,69.47180175,15657,0.524978681,660.9848481,134.244024,52.43907186,0,0,1,0,0,0,0,0
181,8.158509609,13.4431771,10.29213328,2.595715273,654.4841698,179.2765796,14466,0.663944597,659.2274888,125,48.828125,0,0,0,0,0,0,0,0
199,10.02162235,58.15592264,6.791565941,2.711409396,170.5737309,133.1445071,7446,0.749141631,482.1147904,84.98041764,33.19547564,0,1,0,0,0,0,0,0
216,7.037800687,22.30562715,10.36834192,2.403433476,512.5320017,135.3056271,4656,0.569854525,379.646753,75.92436785,29.65795619,0,0,0,0,0,0,0,0
242,9.803404723,11.99835255,21.49917628,3.027322404,1015.98078,180.8308622,1821,0.982697431,307.0954544,21,8.203125,0,0,1,0,0,0,0,0
254,5.653891279,20.68685401,7.555058942,2.068715084,453.8855243,67.43253813,17899,0.746094669,729.2274888,144.2109351,56.33239651,0,0,0,0,0,0,0,0
282,10.30900243,18.83698297,5.571776156,2.547619048,214.5036496,157.2603406,411,0.466311634,119.882251,24.25370557,9.474103737,0,0,0,0,0,0,0,0
299,48.49520767,12.30883919,25.36767838,3.561170213,20.48162939,185.6962194,3756,0.895267315,329.3797257,48,18.75,1,0,1,0,0,0,0,0
333,12.11583012,16.2546332,18.14382239,3.649517685,529.6391892,245.7763835,15540,0.758627079,754.4650788,134.5197959,52.54679526,0,0,1,0,0,0,0,0
367,20.41006572,39.89882394,10.03804912,3.381692573,186.0421999,214.9187132,5782,0.60203562,546.256926,91.81915064,35.86685572,1,1,0,0,0,0,0,0
413,11.63220199,14.34464674,9.653330336,2.922097378,864.1196524,173.703379,13347,0.765474287,608.9259736,116.2949298,45.42770697,0,0,0,0,0,0,0,0
469,9.278727672,100.4541026,7.384754991,2.698185291,920.6710288,274.2416659,10469,0.608373911,632.5828278,106.6922998,41.67667962,0,1,0,0,0,0,0,0
493,10.95919303,14.48418157,52.32508024,4.225658648,403.2791151,276.6632279,8724,0.664608716,609.6538957,111.9966196,43.74867955,0,0,1,0,0,0,0,0
495,8.267576792,90.6116041,7.26894198,2.502272727,987.039818,328.7531286,4395,0.642551766,402.4751801,72.46755244,28.30763767,0,1,0,0,0,0,0,0
506,43.10165638,15.83533615,21.30756739,3.230519481,33.93959078,261.7827217,3079,0.873484346,287.3208512,53.06869387,20.72995854,1,0,1,0,0,0,0,0
527,15.24213984,68.9399343,13.52041295,4.018735363,634.0361333,292.9317222,4262,0.811468775,306.391919,58.37697497,22.80350585,0,1,0,0,0,0,0,0
558,29.56735137,9.852656528,8.357693067,2.683119447,36.50878926,352.8686549,10126,0.808986437,503.9482682,90,35.15625,1,0,0,0,0,0,0,0
581,11.38150771,17.94169096,24.19241983,3.684647303,567.4602249,336.8633903,2401,0.78735388,272.8772004,47.78150633,18.66465091,0,0,1,0,0,0,0,0
585,38.0666201,16.7256614,18.80040164,2.979057592,138.5243168,396.2909281,11453,0.87210784,572.3574311,98.57389716,38.50542858,1,0,1,0,0,0,0,0
613,12.73501229,103.2895577,9.987223587,2.919018405,171.304914,291.8878378,8140,0.755967251,434.8599564,89.21300882,34.84883157,0,1,0,0,0,0,0,0
632,9.756698821,103.0385852,8.144962487,2.697860963,902.8545016,362.9086281,3732,0.823419457,317.747258,56.30380909,21.99367543,0,1,0,0,0,0,0,0
634,13.8036743,14.79588977,10.28164409,3.68273717,635.5888214,367.2578234,6423,0.816792768,451.9726548,85.33657376,33.33459913,0,0,0,0,0,0,0,0
636,15.39559035,13.07061831,8.529797092,2.950479233,501.0599137,352.8381531,6259,0.935965966,522.8010819,64.85463755,25.33384279,0,0,0,0,0,0,0,0
656,7.463629403,10.40760592,6.610770801,2.417091837,683.4978305,435.0825676,7836,0.771696564,558.156421,89.56199112,34.98515278,0,0,0,0,0,0,0,0
662,11.91919553,15.23753421,10.58871831,3.160523187,248.5544448,417.8232774,8403,0.678757472,630.9259736,124.2662391,48.54149964,0,0,0,0,0,0,0,0
685,15.45902983,90.22861357,8.408554572,2.576104746,850.7484431,328.3629957,6102,0.707958711,434.0315293,76.92886264,30.05033697,0,1,0,0,0,0,0,0
701,22.40372109,18.53837019,25.68506475,3.15602035,289.5794831,328.1161568,17683,0.719893098,702.5239533,127.7154751,49.88885744,1,0,1,0,0,0,0,0
708,11.47233247,11.76156312,8.390474737,2.962228157,439.0710579,446.540719,26204,0.736808338,839.0508653,166.280557,64.95334259,0,0,0,0,0,0,0,0
715,30.00417537,31.53227879,11.21832343,3.421348315,784.2365505,315.8480006,12454,0.890102942,626.2985566,93.93020462,36.69148618,1,1,0,0,0,0,0,0
739,10.51258464,22.56356203,7.138239428,2.523627075,842.1793791,414.4616073,7827,0.798781535,492.5584412,80.74813102,31.54223868,0,0,0,0,0,0,0,0
743,16.22460726,72.33809588,9.877166847,2.941096818,75.94318797,471.5153711,14768,0.561071445,608.1147904,127.7023867,49.88374482,0,1,0,0,0,0,0,0
841,10.62431312,12.54805746,10.72582667,3.195568401,824.9171889,494.4430734,10373,0.802138065,634.3401872,103.979444,40.61697031,0,0,0,0,0,0,0,0
875,10.63753897,12.10957271,10.01604621,3.163153071,576.5825234,470.7826884,10906,0.789142584,613.8132752,109.174333,42.64622384,0,0,0,0,0,0,0,0
932,11.14227086,19.40401277,7.854081167,2.8,17.85271318,518.4072047,2193,0.803528602,284.4091629,52,20.3125,0,0,0,0,0,0,0,0
946,8.584496563,14.47346418,13.56607383,2.77266289,961.0791469,424.003472,14113,0.636820413,632.6173157,134.1481167,52.40160808,0,0,0,0,0,0,0,0
977,10.81263174,11.77063003,21.95557811,3.483996877,306.2552112,482.5039425,12809,0.567605315,778.7077195,143.0264357,55.86970146,0,0,1,0,0,0,0,0
1056,7.898384871,34.58923789,11.95941888,2.763179238,741.4468793,549.085058,12321,0.811805111,609.9970414,102.6900982,40.11331962,0,1,0,0,0,0,0,0
1074,20.33078292,197.7176157,15.32464413,3.715555556,186.6909253,647.1274911,11240,0.566023138,529.3868684,111.5727009,43.58308628,0,1,1,0,0,0,0,0
1077,10.72334539,36.42785699,7.052989998,2.562765957,983.8981698,605.9471164,9398,0.718625217,528.1736649,98.2674426,38.38571977,0,1,0,0,0,0,0,0
1084,9.208143861,26.32472096,9.514055395,2.566115702,817.8710211,669.2678793,4838,0.952412114,478.4163056,60.86723236,23.77626264,0,0,0,0,0,0,0,0
1104,15.15890261,11.01453806,8.760669064,3.00234375,470.0433015,566.3993278,12794,0.800578183,626.8427125,115.2861684,45.03365953,0,0,0,0,0,0,0,0
1119,26.79622021,169.0439606,15.97288414,4.241803279,122.9843878,657.2132293,2434,0.880327918,344.1909089,41.93095613,16.37927974,1,1,1,0,0,0,0,0
1130,15.47496476,18.07771036,7.86131029,2.708946078,408.4850156,635.8644972,16317,0.728399264,706.666089,131.4636219,51.35297731,0,0,0,0,0,0,0,0
1151,11.10650069,11.89211618,13.85615491,3.15862069,575.1929461,629.9834025,1446,0.895335612,271.9066376,41.99477289,16.40420816,0,0,0,0,0,0,0,0
1166,10.02212503,11.16246463,10.18266015,3.141388175,638.1084384,561.9745305,7774,0.904329729,542.4579362,71.13800347,27.78828261,0,0,0,0,0,0,0,0
1178,9.970046083,30.12442396,8.661290323,2.340909091,1018.370968,666.8271889,434,0.905851896,112.7695526,18,7.03125,0,1,0,0,0,0,0,0
1180,12.21539196,30.19117145,22.01460053,3.63165075,54.52439108,610.4178208,14657,0.627472422,637.5878785,115,44.921875,0,1,1,0,0,0,0,0
1211,8.667153418,100.3101214,9.046545587,2.479927007,948.8085242,706.863375,10957,0.369426637,514.8427125,114.8377831,44.85850904,0,1,0,0,0,0,0,0
1215,11.91650854,41.37381404,21.04364326,3.641509434,104.5047438,689.8538899,527,0.893820282,122.1248917,20.50609665,8.010194006,0,1,1,0,0,0,0,0
1232,12.04567193,106.3100191,8.590746055,3.212664277,703.4548063,742.2258489,8364,0.734829018,492.6000718,92.52593373,36.14294286,0,1,0,0,0,0,0,0
1233,16.38857034,20.41972477,87.74713303,6.005730659,53.22419725,732.743406,10464,0.499937974,478.7594514,108,42.1875,0,0,1,0,0,0,0,0
1258,12.77216437,21.65465804,7.882634393,3.05625879,730.2859555,664.2551365,7106,0.853245001,568.156421,80.84519773,31.58015536,0,0,0,0,0,0,0,0
1272,18.90271084,23.45240964,12.05060241,4.204204204,457.4527108,722.7268072,3320,0.780204549,295.3208512,59,23.046875,0,0,0,0,0,0,0,0
1363,6.78600134,17.38780978,6.196584059,2.327759197,1004.334226,745.7598794,2986,0.889355624,328.6934342,59.95555955,23.42014045,0,0,0,0,0,0,0,0
1369,55.9024284,18.83861483,15.93226614,3.764961915,524.4083633,696.4179462,9183,0.773719397,465.1442277,91.83532754,35.87317482,1,0,1,0,0,0,0,0
1372,11.30996279,12.22852418,9.468871434,3.008264463,604.5947912,805.9925589,12095,0.894813973,677.5533906,90.93071683,35.51981126,0,0,0,0,0,0,0,0
1380,14.54924761,8.322845417,15.01504788,3.054421769,25.18057456,789.627223,1462,0.917506422,221.2375901,32.99551575,12.88887334,0,0,0,0,0,0,0,0
1393,9.34740025,22.99500427,8.830079537,3.186596583,356.8129232,791.2367054,15213,0.745801116,758.7493501,121.3542614,47.40400836,0,0,0,0,0,0,0,0
1406,11.18324966,16.34196714,9.469990872,3.318129989,484.8282748,808.7112049,8764,0.508133398,510.5584412,109.126582,42.6275711,0,0,0,0,0,0,0,0
1431,11.05899881,21.05348629,10.95247318,3.291666667,282.1640346,761.5952026,6712,0.842083021,504.9848481,77.06811715,30.10473326,0,0,0,0,0,0,0,0
1437,12.25463892,25.49398195,13.54914744,3.511491851,174.4340939,781.4293297,23928,0.357906116,1043.928066,187.2357941,73.13898207,0,0,0,0,0,0,0,0
1458,6.603486442,15.64346984,6.670033204,2.482710927,854.8153016,776.5619812,7228,0.715599863,461.0437226,83.61623119,32.66259031,0,0,0,0,0,0,0,0
1503,80.58793208,18.25257732,107.1782899,6.363636364,31.10946028,828.4993936,3298,0.684158523,283.9655121,66.13800344,25.83515759,1,0,1,0,0,0,0,0
1532,11.91586716,107.2741697,9.529889299,3.386740331,946.6627306,854.5234317,5420,0.566906831,415.2031022,82.5051888,32.22858938,0,1,0,0,0,0,0,0
1551,11.15557706,38.95293975,8.329240261,3.012696493,186.6205541,945.4286838,16532,0.858557129,769.0681092,133.6160782,52.19378054,0,1,0,0,0,0,0,0
1558,10.99219125,43.40725613,8.435007208,2.863145258,415.3760211,871.4351273,8324,0.498963771,516.884343,96.79947114,37.81229341,0,1,0,0,0,0,0,0
1566,15.23147559,12.90144559,17.90326393,3.002727273,718.8081644,826.6336031,10999,0.791928301,699.394011,120.5159329,47.0765363,0,0,1,0,0,0,0,0
1570,8.277249135,30.8633218,8.829584775,2.625,1012.393599,857.9822664,2312,0.960561361,290.1665222,29,11.328125,0,1,0,0,0,0,0,0
1574,10.70069521,61.57885108,16.55104281,3.430656934,604.276985,897.3684596,2733,0.86309996,262.8355698,46.71888468,18.24956433,0,1,1,0,0,0,0,0
1579,12.1065371,14.19063604,10.04028269,3.523809524,545.1279152,853.2111307,5660,0.562546242,403.6883835,82.63073745,32.27763182,0,0,0,0,0,0,0,0
1605,9.687170011,131.3804118,8.296726505,3.171503958,983.8149419,939.0331309,7576,0.597613391,420.4335495,93,36.328125,0,1,0,0,0,0,0,0
1618,11.66930776,95.84945788,9.99530859,3.089583333,676.7903461,960.2550042,9592,0.85338504,608.1147904,97.72548879,38.17401906,0,1,0,0,0,0,0,0
1643,12.18413785,11.37766486,14.78879929,2.494481236,593.6785596,979.2031371,9053,0.830311523,577.2447327,98.20148825,38.35995635,0,0,0,0,0,0,0,0
1716,8.586296275,11.79331718,6.67825548,2.466478873,773.6576323,911.6269792,17747,0.824684506,690.4234483,131.5233997,51.376328,0,0,0,0,0,0,0,0
1723,18.7676297,15.94097546,12.90680336,17.20186335,916.7430879,991.9189189,3219,0.784316219,272.8944443,55.57324894,21.70830037,0,0,0,0,0,0,0,0
1733,56.3369863,72.2113804,14.29378293,3.370526316,400.5426765,1001.130242,4745,0.829957839,379.8061325,63,24.609375,1,1,0,0,0,0,0,0
1737,10.32400699,81.43296694,9.524148555,2.685262281,72.83699725,921.9583229,24018,0.732036141,758.2985566,159.9783919,62.49155933,0,1,0,0,0,0,0,0
1754,8.764197288,72.32737276,16.53232462,3.170923379,929.6781293,937.1742975,5089,0.954993059,540.4995667,66.76940902,26.0818004,0,1,1,0,0,0,0,0
1769,37.80345158,14.90604027,28.76366251,3.550239234,762.1049856,1008.055609,2086,0.841858269,234.4091629,42,16.40625,1,0,1,0,0,0,0,0
1775,9.633705476,17.48750665,7.922913344,3.021164021,996.9548113,1007.64168,1881,0.800120096,199.7401154,39.93319556,15.59890452,0,0,0,0,0,0,0,0
1787,10.40025413,45.227446,7.499364676,2.898734177,16.40406607,1013.412961,787,0.872505422,151.254834,28.90338006,11.29038283,0,1,0,0,0,0,0,0
1800,6.893162393,9.923076923,9.714387464,17.23404255,865.9266382,1011.113248,1404,0.805431534,165.4974747,31,12.109375,0,0,0,0,0,0,0,0
8416,9.166206958,12.21710117,8.130883531,2.415480427,769.8248955,180.9158288,11239,0.758117213,552.6000718,109.6226834,42.82136072,0,0,0,0,0,0,0,0
9058,16.12250202,25.76207545,38.92311139,4.670250896,165.0565463,546.3130209,11159,0.737071355,544.8010819,106.1025938,41.44632569,0,0,1,0,0,0,0,0
25296,14.78272884,32.23868739,98.84939551,5.935558113,612.4560737,678.1862982,8685,0.395515868,531.0437226,104.8492235,40.95672794,0,1,1,0,0,0,0,0
26773,7.042268984,14.48051235,7.260933211,2.595978062,871.8153705,945.8173833,5465,0.860062318,463.2447327,68.47781971,26.74914832,0,0,0,0,0,0,0,0
32958,11.47736318,11.34266169,10.34465174,3.249689441,570.9955224,565.1364428,8040,0.631691557,512.7594514,93.13085995,36.37924217,0,0,0,0,0,0,0,0
36455,12.08547148,55.14463148,12.42964537,3.560457516,716.6961922,270.6700441,6119,0.573847436,417.6883835,84.16733818,32.87786648,0,1,0,0,0,0,0,0
38981,14.38439826,18.58634847,14.28047216,4.251282051,885.9835771,643.7477547,3897,0.63362668,325.5634919,72.63693332,28.37380208,0,0,0,0,0,0,0,0
40006,12.05683683,15.1052086,13.87185799,27.90328152,308.6444675,943.2904034,23154,0.612109226,822.0803025,165.539003,64.66367303,0,0,0,1,0,0,0,0
80012,38.76642336,13.21167883,20.48418491,3.69047619,334.7493917,1015.839416,411,0.713550582,112.9116882,24.00717258,9.377801789,1,0,1,0,0,0,0,0
81591,10.0642721,15.79101461,7.520990934,2.666859122,497.3833227,947.0710285,17317,0.580225286,706.4234483,135.6733988,52.99742142,0,0,0,0,0,0,0,0
164864,9.986288848,11.1339538,10.01479142,3.175249169,905.8699518,556.0403025,12034,0.624683968,540.7005769,109.2356788,42.67018705,0,0,0,0,0,0,0,0
165810,11.66845315,17.27000554,9.992977269,3.457564576,980.6717797,503.8782111,5411,0.769339044,383.2203461,80.34063782,31.38306165,0,0,0,0,0,0,0,0
166525,10.30265716,20.17109527,7.677900194,2.690322581,751.7478937,433.1354504,1543,0.845722657,196.7523087,38.58394423,15.07185322,0,0,0,0,0,0,0,0
185430,10.81126238,11.38923267,46.79499646,4.174028269,439.511227,192.6655764,11312,0.553285959,612.884343,118.0108433,46.09798566,0,0,1,0,0,0,0,0
186504,10.25217263,61.17859773,7.908160259,2.96539028,276.5153189,601.4151569,13578,0.777192174,578.7005769,112.0829642,43.78240788,0,1,0,0,0,0,0,0
373008,10.21320801,65.59139253,8.015582488,2.985185185,293.7618105,695.7739302,4043,0.939978368,349.8061325,46.90904194,18.32384451,0,1,0,0,0,0,0,0
374439,9.392502756,27.80374862,8.083792723,2.615384615,263.1312018,842.8081588,907,0.678227272,164.2670273,31.14002928,12.16407394,0,0,0,0,0,0,0,0
